employment_matrix,education_needed
  Anesthesiologists,Doctoral or professional degree
  Cardiologists[2],Doctoral or professional degree
  Dermatologists,Doctoral or professional degree
  Emergency medicine physicians[2],Doctoral or professional degree
  Family medicine physicians,Doctoral or professional degree
  General internal medicine physicians,Doctoral or professional degree
  Neurologists,Doctoral or professional degree
  Obstetricians and gynecologists,Doctoral or professional degree
"  Pediatricians, general",Doctoral or professional degree
"  Physicians, pathologists",Doctoral or professional degree
  Psychiatrists,Doctoral or professional degree
  Radiologists,Doctoral or professional degree
"  Physicians, all other[2]",Doctoral or professional degree
"  Ophthalmologists, except pediatric",Doctoral or professional degree
"  Orthopedic surgeons, except pediatric[2]",Doctoral or professional degree
  Pediatric surgeons[2],Doctoral or professional degree
"  Surgeons, all other[2]",Doctoral or professional degree
  Acupuncturists,Master's degree
  Dental hygienists,Associate's degree
"  Healthcare diagnosing or treating practitioners, all other[2]",Master's degree
  Clinical laboratory technologists and technicians,Bachelor's degree
  Cardiovascular technologists and technicians,Associate's degree
  Diagnostic medical sonographers,Associate's degree
  Nuclear medicine technologists,Associate's degree
  Radiologic technologists and technicians,Associate's degree
  Magnetic resonance imaging technologists,Associate's degree
  Medical dosimetrists[2],Bachelor's degree
  Emergency medical technicians[2],Postsecondary nondegree award
  Paramedics[2],Postsecondary nondegree award
  Dietetic technicians,Associate's degree
  Pharmacy technicians,High school diploma or equivalent
  Psychiatric technicians,Postsecondary nondegree award
  Surgical technologists,Postsecondary nondegree award
  Veterinary technologists and technicians,Associate's degree
  Ophthalmic medical technicians,Postsecondary nondegree award
  Licensed practical and licensed vocational nurses,Postsecondary nondegree award
  Medical records specialists[2],Postsecondary nondegree award
"  Opticians, dispensing",High school diploma or equivalent
  Orthotists and prosthetists,Master's degree
  Hearing aid specialists,High school diploma or equivalent
"  Health technologists and technicians, all other[2]",Postsecondary nondegree award
  Health information technologists and medical registrars[2],Associate's degree
  Athletic trainers,Master's degree
  Genetic counselors,Master's degree
  Surgical assistants,Postsecondary nondegree award
"  Healthcare practitioners and technical workers, all other[2]",Postsecondary nondegree award
  Home health and personal care aides,High school diploma or equivalent
  Nursing assistants,Postsecondary nondegree award
  Orderlies,High school diploma or equivalent
  Psychiatric aides,High school diploma or equivalent
  Occupational therapy assistants,Associate's degree
  Occupational therapy aides,High school diploma or equivalent
  Physical therapist assistants,Associate's degree
  Physical therapist aides,High school diploma or equivalent
  Massage therapists,Postsecondary nondegree award
  Dental assistants,Postsecondary nondegree award
  Medical assistants,Postsecondary nondegree award
  Medical equipment preparers,High school diploma or equivalent
  Medical transcriptionists,Postsecondary nondegree award
  Pharmacy aides,High school diploma or equivalent
  Veterinary assistants and laboratory animal caretakers,High school diploma or equivalent
  Phlebotomists,Postsecondary nondegree award
"  Healthcare support workers, all other[2]",High school diploma or equivalent
  First-line supervisors of correctional officers,High school diploma or equivalent
  First-line supervisors of police and detectives,High school diploma or equivalent
  First-line supervisors of firefighting and prevention workers,Postsecondary nondegree award
  First-line supervisors of security workers[2],High school diploma or equivalent
"  First-line supervisors of protective service workers, all other[2]",High school diploma or equivalent
  Firefighters,Postsecondary nondegree award
  Fire inspectors and investigators,Postsecondary nondegree award
  Forest fire inspectors and prevention specialists,High school diploma or equivalent
  Bailiffs,High school diploma or equivalent
  Correctional officers and jailers,High school diploma or equivalent
  Detectives and criminal investigators,High school diploma or equivalent
  Fish and game wardens,Bachelor's degree
  Parking enforcement workers,High school diploma or equivalent
  Police and sheriff's patrol officers,High school diploma or equivalent
  Transit and railroad police,High school diploma or equivalent
  Animal control workers,High school diploma or equivalent
  Private detectives and investigators,High school diploma or equivalent
  Gambling surveillance officers and gambling investigators,High school diploma or equivalent
  Security guards,High school diploma or equivalent
  Crossing guards and flaggers,No formal educational credential
"  Lifeguards, ski patrol, and other recreational protective service workers",No formal educational credential
  Transportation security screeners,High school diploma or equivalent
  School bus monitors[2],High school diploma or equivalent
"  Protective service workers, all other[2]",High school diploma or equivalent
  Chefs and head cooks,High school diploma or equivalent
  First-line supervisors of food preparation and serving workers,High school diploma or equivalent
"  Cooks, fast food",No formal educational credential
"  Cooks, institution and cafeteria",No formal educational credential
"  Cooks, private household",Postsecondary nondegree award
"  Cooks, restaurant",No formal educational credential
"  Cooks, short order",No formal educational credential
"  Cooks, all other[2]",No formal educational credential
  Food preparation workers,No formal educational credential
  Bartenders,No formal educational credential
  Fast food and counter workers,No formal educational credential
  Waiters and waitresses,No formal educational credential
"  Food servers, nonrestaurant",No formal educational credential
  Dining room and cafeteria attendants and bartender helpers,No formal educational credential
  Dishwashers,No formal educational credential
"  Hosts and hostesses, restaurant, lounge, and coffee shop",No formal educational credential
"  Food preparation and serving related workers, all other[2]",No formal educational credential
  First-line supervisors of housekeeping and janitorial workers,High school diploma or equivalent
"  First-line supervisors of landscaping, lawn service, and groundskeeping workers",High school diploma or equivalent
"  Janitors and cleaners, except maids and housekeeping cleaners",No formal educational credential
  Maids and housekeeping cleaners,No formal educational credential
"  Building cleaning workers, all other[2]",No formal educational credential
  Pest control workers,High school diploma or equivalent
  Landscaping and groundskeeping workers,No formal educational credential
"  Pesticide handlers, sprayers, and applicators, vegetation",High school diploma or equivalent
  Tree trimmers and pruners,High school diploma or equivalent
"  Grounds maintenance workers, all other[2]",No formal educational credential
  First-line supervisors of gambling services workers,High school diploma or equivalent
"  First-line supervisors of entertainment and recreation workers, except gambling services[2]",High school diploma or equivalent
  First-line supervisors of personal service workers,High school diploma or equivalent
  Animal trainers,High school diploma or equivalent
  Animal caretakers,High school diploma or equivalent
  Gambling dealers,High school diploma or equivalent
  Gambling and sports book writers and runners,High school diploma or equivalent
"  Gambling service workers, all other[2]",High school diploma or equivalent
  Motion picture projectionists,No formal educational credential
"  Ushers, lobby attendants, and ticket takers",No formal educational credential
  Amusement and recreation attendants,No formal educational credential
  Costume attendants,High school diploma or equivalent
"  Locker room, coatroom, and dressing room attendants",High school diploma or equivalent
"  Entertainment attendants and related workers, all other[2]",High school diploma or equivalent
  Embalmers,Associate's degree
  Crematory operators[2],High school diploma or equivalent
  Funeral attendants,High school diploma or equivalent
"  Morticians, undertakers, and funeral arrangers",Associate's degree
  Barbers,Postsecondary nondegree award
"  Hairdressers, hairstylists, and cosmetologists",Postsecondary nondegree award
"  Makeup artists, theatrical and performance",Postsecondary nondegree award
  Manicurists and pedicurists,Postsecondary nondegree award
  Shampooers,No formal educational credential
  Skincare specialists,Postsecondary nondegree award
  Baggage porters and bellhops,High school diploma or equivalent
  Concierges,High school diploma or equivalent
  Tour and travel guides,High school diploma or equivalent
  Childcare workers,High school diploma or equivalent
  Exercise trainers and group fitness instructors,High school diploma or equivalent
  Recreation workers,High school diploma or equivalent
  Residential advisors,High school diploma or equivalent
"  Personal care and service workers, all other[2]",High school diploma or equivalent
  First-line supervisors of retail sales workers,High school diploma or equivalent
  First-line supervisors of non-retail sales workers,High school diploma or equivalent
  Cashiers,No formal educational credential
  Gambling change persons and booth cashiers,No formal educational credential
  Counter and rental clerks,No formal educational credential
  Parts salespersons,No formal educational credential
  Retail salespersons,No formal educational credential
  Advertising sales agents,High school diploma or equivalent
  Insurance sales agents,High school diploma or equivalent
"  Securities, commodities, and financial services sales agents",Bachelor's degree
  Travel agents,High school diploma or equivalent
"  Sales representatives of services, except advertising, insurance, financial services, and travel[2]",High school diploma or equivalent
"  Sales representatives, wholesale and manufacturing, technical and scientific products",Bachelor's degree
"  Sales representatives, wholesale and manufacturing, except technical and scientific products",High school diploma or equivalent
  Demonstrators and product promoters,No formal educational credential
  Models,No formal educational credential
  Real estate brokers,High school diploma or equivalent
  Real estate sales agents,High school diploma or equivalent
  Sales engineers,Bachelor's degree
  Telemarketers,No formal educational credential
"  Door-to-door sales workers, news and street vendors, and related workers",No formal educational credential
"  Sales and related workers, all other[2]",High school diploma or equivalent
  First-line supervisors of office and administrative support workers,High school diploma or equivalent
"  Switchboard operators, including answering service",High school diploma or equivalent
  Telephone operators,High school diploma or equivalent
"  Communications equipment operators, all other[2]",High school diploma or equivalent
  Bill and account collectors,High school diploma or equivalent
  Billing and posting clerks,High school diploma or equivalent
"  Bookkeeping, accounting, and auditing clerks","Some college, no degree"
  Gambling cage workers,High school diploma or equivalent
  Payroll and timekeeping clerks,High school diploma or equivalent
  Procurement clerks,High school diploma or equivalent
  Tellers,High school diploma or equivalent
"  Financial clerks, all other[2]",High school diploma or equivalent
  Brokerage clerks,High school diploma or equivalent
  Correspondence clerks,High school diploma or equivalent
"  Court, municipal, and license clerks",High school diploma or equivalent
